type,name,path,issue
TEXTURE,Liam_Unwin_20260315_1900_WALL_BEAMS_3D_MODEL_WALL_BEAMS_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1900_WALL_BEAMS_3D_MODEL_WALL_BEAMS_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1900_WALL_BEAMS_3D_MODEL_WALL_BEAMS_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1900_WALL_BEAMS_3D_MODEL_WALL_BEAMS_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1855_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_VAULT_DOOR_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1855_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_VAULT_DOOR_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1855_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_VAULT_DOOR_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1855_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_VAULT_DOOR_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1855_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_VAULT_DOOR_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1854_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_DOOR_FRAME_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1854_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_DOOR_FRAME_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
